sku,name,brand,category,subcategory,collection,highlight,description,tags,amazon_link,gst_pct,hero,gallery,video,features
LI001A,"CRYSTAL PLASTIC ABS LIGHTER, MULTICOLOUR",crystal,kitchenware,lighters,LIGHTERS,CRYSTAL ABS LIGHTER (PLASTIC BODY),"A Durable Plastic Abs Lighter, Ideal For Gas Stoves And Kitchen Use.","Kitchen Lighter, Abs Lighter, Gas Stove Lighter",https://www.amazon.in/dp/B00J4YDI52,0.18,product-photos/LI001A/hero.webp,"product-photos/LI001A/g1.webp, product-photos/LI001A/g2.webp, product-photos/LI001A/g3.webp",product-photos/LI001A/video.mp4,"Sturdy ABS Body | Impact-resistant plastic that survives daily kitchen use
Reliable Ignition | Consistent spark every time you press
Easy Grip | Ergonomic shape for a comfortable hold"
LI002A,"CRYSTAL ARISTO STAINLESS STEEL LIGHTER, MULTICOLOUR",crystal,kitchenware,lighters,LIGHTERS,CRYSTAL SS LIGHTER (ARISTO),"The Crystal Aristo Stainless Steel Lighter combines elegance and functionality in one sleek design, with a reliable ignition system for gas stoves, grills and candles.",Stainless Steel Gas Lighter | Crystal Aristo Lighter | Durable Gas Stove Lighter,https://www.amazon.in/dp/B00INQOQ3U,0.18,product-photos/LI002A/hero.webp,product-photos/LI002A/g1.webp | product-photos/LI002A/g2.webp,product-photos/LI002A/video.mp4,"Sturdy Stainless Steel Construction | Built to last in a busy kitchen
Refillable and Reusable | Top up the gas instead of throwing it away
Multicolour Finish | A modern touch on the counter"
